# offset relative_offset cap_id vs_cap_id value
0x0211  274 0x05 0x06 0x00000000
0x0212  275 0x05 0x06 0x00000000
0x0213  276 0x05 0x06 0x00008087
0x0214  277 0x05 0x06 0x00005786
0x0215  278 0x05 0x06 0x00000001
0x0216  279 0x05 0x06 0x20505041
0x0217  280 0x05 0x06 0x20204d45
0x0218  281 0x05 0x06 0x808714c4
0x0219  282 0x05 0x06 0xe87ca900
0x021a  283 0x05 0x06 0x00000000
0x021b  284 0x05 0x06 0x00000001
0x021c  285 0x05 0x06 0x00000000
0x021d  286 0x05 0x06 0x00000000
0x021e  287 0x05 0x06 0x00000000
0x021f  288 0x05 0x06 0x00000000
0x0220  289 0x05 0x06 0x00000000
0x0221  290 0x05 0x06 0x00000000
0x0222  291 0x05 0x06 0x00010900
0x0223  292 0x05 0x06 0x00000000
0x0224  293 0x05 0x06 0x00000000
0x0225  294 0x05 0x06 0x00000000
0x0226  295 0x05 0x06 0x000bfffe
0x0227  296 0x05 0x06 0x00000000
0x0228  297 0x05 0x06 0x00000000
0x0229  298 0x05 0x06 0x00000000
0x022a  299 0x05 0x06 0x00000000
0x022b  300 0x05 0x06 0x00000000
0x022c  301 0x05 0x06 0x00000000
0x022d  302 0x05 0x06 0x00000000
0x022e  303 0x05 0x06 0x00000000
0x022f  304 0x05 0x06 0x00000000
0x0230  305 0x05 0x06 0x00000000
0x0231  306 0x05 0x06 0x00000000
0x0232  307 0x05 0x06 0x00010101
0x0233  308 0x05 0x06 0x00340000
0x0234  309 0x05 0x06 0x000000ff
0x0235  310 0x05 0x06 0x00001f1f
0x0236  311 0x05 0x06 0x00000011
0x0237  312 0x05 0x06 0x00700000
0x0238  313 0x05 0x06 0x00000000
0x0239  314 0x05 0x06 0x00000000
0x023a  315 0x05 0x06 0x00000000
0x023b  316 0x05 0x06 0x00000000
0x023c  317 0x05 0x06 0x00000000
0x023d  318 0x05 0x06 0x10000000
0x023e  319 0x05 0x06 0x00000000
0x023f  320 0x05 0x06 0x6400701f
0x0240  321 0x05 0x06 0x00000048
0x0241  322 0x05 0x06 0x00000000
0x0242  323 0x05 0x06 0x00000000
0x0243  324 0x05 0x06 0x6400700f
0x0244  325 0x05 0x06 0x00000008
0x0245  326 0x05 0x06 0x00000000
0x0246  327 0x05 0x06 0x00000000
0x0247  328 0x05 0x06 0x00000000
0x0248  329 0x05 0x06 0x00000000
0x0249  330 0x05 0x06 0x00000000
0x024a  331 0x05 0x06 0x00000000
0x024b  332 0x05 0x06 0x00000000
0x024c  333 0x05 0x06 0x00000000
0x024d  334 0x05 0x06 0x00000000
0x024e  335 0x05 0x06 0x00000000
0x024f  336 0x05 0x06 0x00202204
0x0250  337 0x05 0x06 0x00005520
0x0251  338 0x05 0x06 0x00000000
0x0252  339 0x05 0x06 0x00000000
0x0253  340 0x05 0x06 0x00000000
0x0254  341 0x05 0x06 0x00000000
0x0255  342 0x05 0x06 0x00000000
0x0256  343 0x05 0x06 0x00000000
0x0257  344 0x05 0x06 0x00000000
0x0258  345 0x05 0x06 0x00000000
0x0259  346 0x05 0x06 0x00000000
0x025a  347 0x05 0x06 0x00000000
0x025b  348 0x05 0x06 0x00000000
0x025c  349 0x05 0x06 0x00000000
0x025d  350 0x05 0x06 0x00000000
0x025e  351 0x05 0x06 0x00000000
0x025f  352 0x05 0x06 0x02000200
0x0260  353 0x05 0x06 0x08000000
0x0261  354 0x05 0x06 0x08e108e1
0x0262  355 0x05 0x06 0x02000004
0x0263  356 0x05 0x06 0x00000000
0x0264  357 0x05 0x06 0x00000000
0x0265  358 0x05 0x06 0x00000000
0x0266  359 0x05 0x06 0x00000000
0x0267  360 0x05 0x06 0x00000000
0x0268  361 0x05 0x06 0x00000000
0x0269  362 0x05 0x06 0x00000000
0x026a  363 0x05 0x06 0x00000000
0x026b  364 0x05 0x06 0x00000000
0x026c  365 0x05 0x06 0x00000000
0x026d  366 0x05 0x06 0x00000000
0x026e  367 0x05 0x06 0x00000000
0x026f  368 0x05 0x06 0x00000000
0x0270  369 0x05 0x06 0x00000000
0x0271  370 0x05 0x06 0x00000000
0x0272  371 0x05 0x06 0x00000000
0x0273  372 0x05 0x06 0x00000000
0x0274  373 0x05 0x06 0x00000000
0x0275  374 0x05 0x06 0x00000000
0x0276  375 0x05 0x06 0x00000000
0x0277  376 0x05 0x06 0x00000000
0x0278  377 0x05 0x06 0x00000000
0x0279  378 0x05 0x06 0x00000000
0x027a  379 0x05 0x06 0x00000000
0x027b  380 0x05 0x06 0x00000000
0x027c  381 0x05 0x06 0x00000000
0x027d  382 0x05 0x06 0x00000000
0x027e  383 0x05 0x06 0x00000000
